dept,Month of resignation,age_group,POSTDIC SCORE 2021,postdic,promoted,travel,distance,marital,edu,grad,Status,age_left,age_joined,duration,salary,experience
SYSTEM,10.0,30-34,Above 4.0 [Positive Influence],NOT APPLICABLE,NO,NO,29.6,Married,M,O,left,29.0,27,28,4400.0,6.0
SYSTEM,5.0,30-34,3.0 - 3.9 [Good Work Attitude],NOT APPLICABLE,NO,NO,1.0,Married,Dg,L,left,31.0,29,24,4200.0,11.0
SYSTEM,,30-34,3.0 - 3.9 [Good Work Attitude],3.0 - 3.9 [Good Work Attitude],NO,NO,19.8,Married,Dg,L,stay,34.0,31,37,7000.0,11.0
SYSTEM,1.0,25-29,NOT APPLICABLE,NOT APPLICABLE,NO,NO,38.1,Single,Dg,L,left,26.0,24,19,3450.0,3.0
SYSTEM,10.0,25-29,3.0 - 3.9 [Good Work Attitude],NOT APPLICABLE,NO,NO,30.0,Single,M,O,left,26.0,24,28,4750.0,3.0
SYSTEM,,30-34,Above 4.0 [Positive Influence],Above 4.0 [Positive Influence],NO,NO,18.7,Married,Dg,L,stay,31.0,28,37,4890.0,7.0
CALL CENTRE,,25-29,Above 4.0 [Positive Influence],Above 4.0 [Positive Influence],NO,NO,26.4,Married,Dip,L,stay,29.0,26,39,2320.0,9.0
CALL CENTRE,9.0,25-29,NOT APPLICABLE,NOT APPLICABLE,NO,NO,2.1,Single,HS,L,left,26.0,26,6,1800.0,5.0
CALL CENTRE,4.0,30-34,NOT APPLICABLE,NOT APPLICABLE,NO,NO,2.1,Single,HS,L,left,27.0,27,1,1500.0,3.0
CALL CENTRE,,30-34,Above 4.0 [Positive Influence],Above 4.0 [Positive Influence],NO,NO,1.0,Married,Dip,L,stay,30.0,27,39,2210.0,7.0
CALL CENTRE,1.0,25-29,NOT APPLICABLE,NOT APPLICABLE,NO,NO,2.0,Single,Dip,L,left,27.0,26,8,2000.0,6.0
